model,accuracy,recall,precision,f1
logres,0.8111111111111111,0.8111111111111111,1.0,0.8957055214723927
naive_bayes,0.03333333333333333,0.03333333333333333,1.0,0.06451612903225806
svm,0.1,0.1,1.0,0.18181818181818182
vote,0.13333333333333333,0.13333333333333333,1.0,0.23529411764705882
roberta,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
lstm,0.6,0.6,1.0,0.7499999999999999
