model,accuracy,recall,precision,f1
logres,0.9555555555555556,0.9555555555555556,1.0,0.9772727272727273
naive_bayes,0.011111111111111112,0.011111111111111112,1.0,0.02197802197802198
svm,0.14444444444444443,0.14444444444444443,1.0,0.2524271844660194
vote,0.15555555555555556,0.15555555555555556,1.0,0.2692307692307693
roberta,0.7666666666666667,0.7666666666666667,1.0,0.8679245283018869
lstm,0.5888888888888889,0.5888888888888889,1.0,0.7412587412587412
