model,accuracy,recall,precision,f1
logres,0.9876543209876543,0.9876543209876543,1.0,0.9937888198757764
naive_bayes,0.04938271604938271,0.04938271604938271,1.0,0.09411764705882353
svm,0.32098765432098764,0.32098765432098764,1.0,0.4859813084112149
vote,0.345679012345679,0.345679012345679,1.0,0.5137614678899083
roberta,0.9382716049382716,0.9382716049382716,1.0,0.9681528662420382
lstm,0.8641975308641975,0.8641975308641975,1.0,0.9271523178807948
