model,accuracy,recall,precision,f1
logres,0.6333333333333333,0.6333333333333333,1.0,0.7755102040816326
naive_bayes,0.08888888888888889,0.08888888888888889,1.0,0.163265306122449
svm,0.1,0.1,1.0,0.18181818181818182
vote,0.17777777777777778,0.17777777777777778,1.0,0.3018867924528302
roberta,0.24444444444444444,0.24444444444444444,1.0,0.39285714285714285
lstm,0.3333333333333333,0.3333333333333333,1.0,0.5
