model,accuracy,recall,precision,f1
logres,0.9555555555555556,0.9555555555555556,1.0,0.9772727272727273
naive_bayes,0.0,0.0,0.0,0.0
svm,0.4777777777777778,0.4777777777777778,1.0,0.6466165413533834
vote,0.4777777777777778,0.4777777777777778,1.0,0.6466165413533834
roberta,0.9666666666666667,0.9666666666666667,1.0,0.983050847457627
lstm,0.7444444444444445,0.7444444444444445,1.0,0.8535031847133758
