model,accuracy,recall,precision,f1
logres,0.8941176470588236,0.8941176470588236,1.0,0.9440993788819877
naive_bayes,0.0,0.0,0.0,0.0
svm,0.3176470588235294,0.3176470588235294,1.0,0.4821428571428571
vote,0.3176470588235294,0.3176470588235294,1.0,0.4821428571428571
roberta,0.9058823529411765,0.9058823529411765,1.0,0.9506172839506173
lstm,0.6588235294117647,0.6588235294117647,1.0,0.7943262411347518
